"Current","Previous","Estimate","Error"
"Delaware","Kansas",7,17
"District of Columbia ","Kansas",6,19
"Florida","Kansas",2661,1410
"Georgia","Kansas",4513,2909
"Hawaii","Kansas",125,154
"Idaho","Kansas",479,503
"Illinois","Kansas",2533,1130
"Indiana","Kansas",1321,946
"Iowa","Kansas",1776,819
"Kansas","Kansas","N/A","N/A"
"Kentucky","Kansas",253,212
"Louisiana","Kansas",312,466
"Maine","Kansas",523,641
"Maryland","Kansas",689,551
"Massachusetts","Kansas",969,867
"Michigan","Kansas",1148,867
"Minnesota","Kansas",606,324
"Mississippi","Kansas",66,90
"Missouri","Kansas",20884,4170
"Montana","Kansas",845,492
"Nebraska","Kansas",3040,1210
"Nevada","Kansas",602,734
"New Hampshire","Kansas",0,184
"New Jersey","Kansas",317,306
"New Mexico","Kansas",1333,1078
"New York","Kansas",838,397
"North Carolina","Kansas",4995,4644
"North Dakota","Kansas",75,96
"Ohio","Kansas",657,519
"Oklahoma","Kansas",4626,1250
"Oregon","Kansas",1263,1355
"Pennsylvania","Kansas",2323,1449
"Rhode Island","Kansas",374,433
"South Carolina","Kansas",1885,1445
"South Dakota","Kansas",144,212
"Tennessee","Kansas",1805,1529
"Texas","Kansas",12766,4731
"Utah","Kansas",1146,829
"Vermont","Kansas",7,13
"Virginia","Kansas",892,645
"Washington","Kansas",2820,1740
"West Virginia","Kansas",0,184
"Wisconsin","Kansas",418,446
"Wyoming","Kansas",286,364
"Puerto Rico","Kansas",38,62
"Alabama","Kentucky",2686,856
"Alaska","Kentucky",237,354
"Arizona","Kentucky",2134,1257
"Arkansas","Kentucky",213,311
"California","Kentucky",1201,507
"Colorado","Kentucky",1361,1028
"Connecticut","Kentucky",0,198
"Delaware","Kentucky",305,391
"District of Columbia ","Kentucky",297,260
"Florida","Kentucky",5441,1674
"Georgia","Kentucky",3686,1708
"Hawaii","Kentucky",18,36
"Idaho","Kentucky",120,170
"Illinois","Kentucky",5569,1718
"Indiana","Kentucky",10177,2220
"Iowa","Kentucky",387,303
"Kansas","Kentucky",1167,770
"Kentucky","Kentucky","N/A","N/A"
"Louisiana","Kentucky",1520,1286
"Maine","Kentucky",158,217
"Maryland","Kentucky",848,671
"Massachusetts","Kentucky",180,203
"Michigan","Kentucky",2578,1158
"Minnesota","Kentucky",755,580
"Mississippi","Kentucky",1626,841
"Missouri","Kentucky",1993,803
"Montana","Kentucky",0,165
"Nebraska","Kentucky",352,457
"Nevada","Kentucky",628,620
"New Hampshire","Kentucky",0,184
"New Jersey","Kentucky",102,125
"New Mexico","Kentucky",87,152
"New York","Kentucky",2414,1223
"North Carolina","Kentucky",1637,786
"North Dakota","Kentucky",0,143
"Ohio","Kentucky",12744,3507
"Oklahoma","Kentucky",1398,747
"Oregon","Kentucky",71,118
"Pennsylvania","Kentucky",4013,1826
"Rhode Island","Kentucky",211,318
"South Carolina","Kentucky",2454,1692
"South Dakota","Kentucky",211,208
"Tennessee","Kentucky",13884,2654
"Texas","Kentucky",6616,2648
"Utah","Kentucky",611,529
"Vermont","Kentucky",627,660
"Virginia","Kentucky",3630,1551
"Washington","Kentucky",1271,936
"West Virginia","Kentucky",515,259
"Wisconsin","Kentucky",1040,570
"Wyoming","Kentucky",83,140
"Puerto Rico","Kentucky",0,210
"Alabama","Louisiana",2413,972
"Alaska","Louisiana",1077,1276
"Arizona","Louisiana",844,867
"Arkansas","Louisiana",2120,1015
"California","Louisiana",3600,1751
"Colorado","Louisiana",908,550
"Connecticut","Louisiana",315,238
"Delaware","Louisiana",0,192
"District of Columbia ","Louisiana",0,200
"Florida","Louisiana",6094,2316
"Georgia","Louisiana",6541,3121
"Hawaii","Louisiana",179,270
"Idaho","Louisiana",51,110
"Illinois","Louisiana",1315,761
"Indiana","Louisiana",2241,1537
"Iowa","Louisiana",228,223
"Kansas","Louisiana",519,338
"Kentucky","Louisiana",1399,906
"Louisiana","Louisiana","N/A","N/A"
"Maine","Louisiana",138,218
"Maryland","Louisiana",860,484
"Massachusetts","Louisiana",977,1200
"Michigan","Louisiana",955,556
"Minnesota","Louisiana",573,599
"Mississippi","Louisiana",7139,1767
"Missouri","Louisiana",1728,905
"Montana","Louisiana",0,165
"Nebraska","Louisiana",222,253
"Nevada","Louisiana",78,128
"New Hampshire","Louisiana",0,184
"New Jersey","Louisiana",871,590
"New Mexico","Louisiana",184,244
"New York","Louisiana",1495,916
"North Carolina","Louisiana",2936,1135
"North Dakota","Louisiana",422,441
"Ohio","Louisiana",1872,1784
"Oklahoma","Louisiana",1934,727
"Oregon","Louisiana",0,203
"Pennsylvania","Louisiana",615,294
"Rhode Island","Louisiana",121,185
"South Carolina","Louisiana",878,486
"South Dakota","Louisiana",0,155
"Tennessee","Louisiana",1901,908
"Texas","Louisiana",25513,5283
"Utah","Louisiana",494,402
"Vermont","Louisiana",41,74
"Virginia","Louisiana",2496,1642
"Washington","Louisiana",1016,1018
"West Virginia","Louisiana",326,313
"Wisconsin","Louisiana",850,563
"Wyoming","Louisiana",114,204
"Puerto Rico","Louisiana",0,210
"Alabama","Maine",626,378
"Alaska","Maine",0,149
"Arizona","Maine",0,229
"Arkansas","Maine",30,53
"California","Maine",1658,1175
"Colorado","Maine",1358,1235
"Connecticut","Maine",259,193
"Delaware","Maine",0,192
"District of Columbia ","Maine",0,200
"Florida","Maine",4689,2049
"Georgia","Maine",408,269
"Hawaii","Maine",106,161
"Idaho","Maine",0,195
"Illinois","Maine",693,510
"Indiana","Maine",275,388
"Iowa","Maine",26,43
"Kansas","Maine",481,527
"Kentucky","Maine",71,137
"Louisiana","Maine",120,163
"Maine","Maine","N/A","N/A"
"Maryland","Maine",1526,1245
"Massachusetts","Maine",4006,1526
"Michigan","Maine",599,735
"Minnesota","Maine",321,343
"Mississippi","Maine",0,206
"Missouri","Maine",291,295
"Montana","Maine",71,127
"Nebraska","Maine",122,127
"Nevada","Maine",49,80
"New Hampshire","Maine",3080,1064
"New Jersey","Maine",624,629
"New Mexico","Maine",510,384
"New York","Maine",2915,1114
"North Carolina","Maine",824,663
"North Dakota","Maine",50,72
"Ohio","Maine",0,187
"Oklahoma","Maine",271,425
"Oregon","Maine",269,320
"Pennsylvania","Maine",608,328
"Rhode Island","Maine",228,177
"South Carolina","Maine",652,566
"South Dakota","Maine",0,155
"Tennessee","Maine",9,17
"Texas","Maine",1357,1052
"Utah","Maine",0,192
"Vermont","Maine",322,200
"Virginia","Maine",2855,1930
"Washington","Maine",1313,1689
"West Virginia","Maine",45,75
"Wisconsin","Maine",12,21
"Wyoming","Maine",0,189
"Puerto Rico","Maine",0,210
"Alabama","Maryland",1606,987
"Alaska","Maryland",216,155
"Arizona","Maryland",1918,1096
"Arkansas","Maryland",133,176
"California","Maryland",7793,1924
"Colorado","Maryland",3303,1416
"Connecticut","Maryland",1267,744
"Delaware","Maryland",4238,1274
"District of Columbia ","Maryland",14129,2971
"Florida","Maryland",15410,3515
"Georgia","Maryland",3708,1807
"Hawaii","Maryland",341,212
"Idaho","Maryland",0,195
"Illinois","Maryland",2565,916
"Indiana","Maryland",480,256
"Iowa","Maryland",487,319
"Kansas","Maryland",3180,2454
"Kentucky","Maryland",2076,1444
"Louisiana","Maryland",1221,1058
"Maine","Maryland",52,105
"Maryland","Maryland","N/A","N/A"
"Massachusetts","Maryland",2762,2048
"Michigan","Maryland",1035,431
"Minnesota","Maryland",424,382
"Mississippi","Maryland",265,239
"Missouri","Maryland",716,317
"Montana","Maryland",57,71
"Nebraska","Maryland",318,344
"Nevada","Maryland",931,701
"New Hampshire","Maryland",222,177
"New Jersey","Maryland",5335,2324
"New Mexico","Maryland",2277,1964
"New York","Maryland",5037,1192
"North Carolina","Maryland",10485,2304
"North Dakota","Maryland",10,16
"Ohio","Maryland",4982,1578
"Oklahoma","Maryland",432,312
"Oregon","Maryland",453,482
"Pennsylvania","Maryland",17751,3723
"Rhode Island","Maryland",472,323
"South Carolina","Maryland",3807,1261
"South Dakota","Maryland",254,222
"Tennessee","Maryland",1135,675
"Texas","Maryland",9443,3323
"Utah","Maryland",342,301
"Vermont","Maryland",361,233
"Virginia","Maryland",22051,3143
"Washington","Maryland",1899,808
"West Virginia","Maryland",7515,2257
"Wisconsin","Maryland",147,141
"Wyoming","Maryland",0,189
"Puerto Rico","Maryland",70,124
"Alabama","Massachusetts",112,146
"Alaska","Massachusetts",141,120
"Arizona","Massachusetts",743,430
"Arkansas","Massachusetts",781,901
"California","Massachusetts",10244,2069
"Colorado","Massachusetts",2157,1085
"Connecticut","Massachusetts",8691,1998
"Delaware","Massachusetts",806,558
"District of Columbia ","Massachusetts",2048,789
"Florida","Massachusetts",13701,3380
"Georgia","Massachusetts",4436,1979
"Hawaii","Massachusetts",92,123
"Idaho","Massachusetts",396,625
"Illinois","Massachusetts",3507,1540
"Indiana","Massachusetts",952,703
"Iowa","Massachusetts",466,632
"Kansas","Massachusetts",28,49
"Kentucky","Massachusetts",1019,885
"Louisiana","Massachusetts",439,255
"Maine","Massachusetts",4439,1293
"Maryland","Massachusetts",3470,1341
"Massachusetts","Massachusetts","N/A","N/A"
"Michigan","Massachusetts",2861,1135
"Minnesota","Massachusetts",970,422
"Mississippi","Massachusetts",1445,1561
"Missouri","Massachusetts",463,306
"Montana","Massachusetts",10,18
"Nebraska","Massachusetts",0,155
"Nevada","Massachusetts",256,255
"New Hampshire","Massachusetts",15526,2811
"New Jersey","Massachusetts",4675,1356
"New Mexico","Massachusetts",252,213
"New York","Massachusetts",14646,2367
"North Carolina","Massachusetts",9053,4920
"North Dakota","Massachusetts",369,359
"Ohio","Massachusetts",2101,1008
"Oklahoma","Massachusetts",160,103
"Oregon","Massachusetts",1423,768
"Pennsylvania","Massachusetts",6284,1711
"Rhode Island","Massachusetts",7715,1532
"South Carolina","Massachusetts",730,447
"South Dakota","Massachusetts",113,179
"Tennessee","Massachusetts",1690,1886
"Texas","Massachusetts",5035,1644
"Utah","Massachusetts",959,638
"Vermont","Massachusetts",2378,606
"Virginia","Massachusetts",5386,2316
"Washington","Massachusetts",1580,757
"West Virginia","Massachusetts",236,196
"Wisconsin","Massachusetts",733,578
"Wyoming","Massachusetts",152,226
"Puerto Rico","Massachusetts",1412,904
"Alabama","Michigan",2797,1250
"Alaska","Michigan",771,435
"Arizona","Michigan",9396,5283
"Arkansas","Michigan",1881,1130
"California","Michigan",12069,4117
"Colorado","Michigan",3225,1061
"Connecticut","Michigan",692,736
"Delaware","Michigan",43,71
"District of Columbia ","Michigan",1108,554
"Florida","Michigan",19640,3920
"Georgia","Michigan",6992,2441
"Hawaii","Michigan",1303,1067
"Idaho","Michigan",615,524
"Illinois","Michigan",10274,2032
"Indiana","Michigan",7896,1777
"Iowa","Michigan",1687,954
"Kansas","Michigan",1947,1003
"Kentucky","Michigan",3178,1248
"Louisiana","Michigan",1163,875
"Maine","Michigan",702,703
"Maryland","Michigan",2077,1273
"Massachusetts","Michigan",2629,1245
"Michigan","Michigan","N/A","N/A"
"Minnesota","Michigan",5164,2149
"Mississippi","Michigan",1610,900
"Missouri","Michigan",2830,1176
"Montana","Michigan",353,295
"Nebraska","Michigan",683,435
"Nevada","Michigan",1663,831
"New Hampshire","Michigan",155,165
"New Jersey","Michigan",1889,1056
"New Mexico","Michigan",908,699
"New York","Michigan",3936,947
"North Carolina","Michigan",7530,2879
"North Dakota","Michigan",328,324
"Ohio","Michigan",14330,2896
"Oklahoma","Michigan",1038,848
"Oregon","Michigan",1652,1174
"Pennsylvania","Michigan",4406,1278
"Rhode Island","Michigan",178,117
"South Carolina","Michigan",4483,1737
"South Dakota","Michigan",239,201
"Tennessee","Michigan",5983,2441
"Texas","Michigan",15654,4327
"Utah","Michigan",1099,724
"Vermont","Michigan",335,345
"Virginia","Michigan",7323,3026
"Washington","Michigan",3720,1212
"West Virginia","Michigan",459,263
"Wisconsin","Michigan",5623,1353
"Wyoming","Michigan",849,545
"Puerto Rico","Michigan",88,127
"Alabama","Minnesota",327,342
"Alaska","Minnesota",593,568
"Arizona","Minnesota",3297,1064
"Arkansas","Minnesota",232,396
"California","Minnesota",5687,1375
"Colorado","Minnesota",3055,1092
"Connecticut","Minnesota",76,120
"Delaware","Minnesota",201,299
"District of Columbia ","Minnesota",409,457
"Florida","Minnesota",4663,1888
"Georgia","Minnesota",1808,1416
"Hawaii","Minnesota",933,750
"Idaho","Minnesota",566,352
"Illinois","Minnesota",4496,1177
"Indiana","Minnesota",1168,568
"Iowa","Minnesota",5634,1117
"Kansas","Minnesota",679,418
"Kentucky","Minnesota",475,415
"Louisiana","Minnesota",698,445
"Maine","Minnesota",296,307
"Maryland","Minnesota",810,503
"Massachusetts","Minnesota",862,537
"Michigan","Minnesota",2671,1085
"Minnesota","Minnesota","N/A","N/A"
"Mississippi","Minnesota",614,615
"Missouri","Minnesota",2026,809
"Montana","Minnesota",969,634
"Nebraska","Minnesota",1455,1009
"Nevada","Minnesota",1055,1329
"New Hampshire","Minnesota",104,145
"New Jersey","Minnesota",1261,1200
"New Mexico","Minnesota",438,435
"New York","Minnesota",1824,678
"North Carolina","Minnesota",1294,825
"North Dakota","Minnesota",12244,2374
"Ohio","Minnesota",1788,784
"Oklahoma","Minnesota",497,341
"Oregon","Minnesota",1413,863
"Pennsylvania","Minnesota",853,592
"Rhode Island","Minnesota",27,60
"South Carolina","Minnesota",471,393
"South Dakota","Minnesota",5342,1981
"Tennessee","Minnesota",445,315
"Texas","Minnesota",7691,2576
"Utah","Minnesota",939,634
"Vermont","Minnesota",206,255
"Virginia","Minnesota",834,361
"Washington","Minnesota",1543,898
"West Virginia","Minnesota",0,184
"Wisconsin","Minnesota",17927,2244
"Wyoming","Minnesota",357,355
"Puerto Rico","Minnesota",0,210
"Alabama","Mississippi",3945,1492
"Alaska","Mississippi",554,904
"Arizona","Mississippi",1226,1492
"Arkansas","Mississippi",1731,864
"California","Mississippi",2092,896
"Colorado","Mississippi",879,621
"Connecticut","Mississippi",69,116
"Delaware","Mississippi",0,192
"District of Columbia ","Mississippi",83,99
"Florida","Mississippi",5175,1968
"Georgia","Mississippi",5380,3077
"Hawaii","Mississippi",371,391
"Idaho","Mississippi",62,106
"Illinois","Mississippi",1521,581
"Indiana","Mississippi",469,366
"Iowa","Mississippi",408,306
"Kansas","Mississippi",1517,1370
"Kentucky","Mississippi",1248,868
"Louisiana","Mississippi",10255,2829
"Maine","Mississippi",0,157
"Maryland","Mississippi",1109,825
"Massachusetts","Mississippi",356,567
"Michigan","Mississippi",715,558
"Minnesota","Mississippi",549,593
"Mississippi","Mississippi","N/A","N/A"
"Missouri","Mississippi",1641,884
"Montana","Mississippi",0,165
"Nebraska","Mississippi",424,430
"Nevada","Mississippi",203,279
"New Hampshire","Mississippi",160,258
"New Jersey","Mississippi",510,677
"New Mexico","Mississippi",556,553
"New York","Mississippi",401,266
"North Carolina","Mississippi",1273,829
"North Dakota","Mississippi",80,143
"Ohio","Mississippi",691,462
"Oklahoma","Mississippi",199,202
"Oregon","Mississippi",7,14
"Pennsylvania","Mississippi",1238,943
"Rhode Island","Mississippi",0,207
"South Carolina","Mississippi",2163,1979
"South Dakota","Mississippi",129,155
"Tennessee","Mississippi",9172,2752
"Texas","Mississippi",6048,2921
"Utah","Mississippi",143,163
"Vermont","Mississippi",0,145
"Virginia","Mississippi",1682,1191
"Washington","Mississippi",1110,762
"West Virginia","Mississippi",0,184
"Wisconsin","Mississippi",983,924
"Wyoming","Mississippi",70,117
"Puerto Rico","Mississippi",27,35
"Alabama","Missouri",1086,536
"Alaska","Missouri",921,1014
"Arizona","Missouri",3872,1689
"Arkansas","Missouri",7314,2602
"California","Missouri",7677,1995
"Colorado","Missouri",4552,1382
"Connecticut","Missouri",365,297
"Delaware","Missouri",713,684
"District of Columbia ","Missouri",112,184
"Florida","Missouri",7114,2753
"Georgia","Missouri",2514,989
"Hawaii","Missouri",308,219
"Idaho","Missouri",384,304
"Illinois","Missouri",13889,2736
"Indiana","Missouri",1824,1033
"Iowa","Missouri",3649,1188
"Kansas","Missouri",22033,4568
"Kentucky","Missouri",2793,1158
"Louisiana","Missouri",1375,565
"Maine","Missouri",325,228
"Maryland","Missouri",1469,944
"Massachusetts","Missouri",1261,654
"Michigan","Missouri",2509,1200
"Minnesota","Missouri",1345,712
"Mississippi","Missouri",1581,973
"Missouri","Missouri","N/A","N/A"
"Montana","Missouri",158,220
"Nebraska","Missouri",1848,771
"Nevada","Missouri",335,237
"New Hampshire","Missouri",153,181
"New Jersey","Missouri",583,544
"New Mexico","Missouri",1183,877
"New York","Missouri",1417,595
"North Carolina","Missouri",2638,1150
"North Dakota","Missouri",330,284
"Ohio","Missouri",2003,873
"Oklahoma","Missouri",5781,1311
"Oregon","Missouri",1172,664
"Pennsylvania","Missouri",1761,1063
"Rhode Island","Missouri",109,163
"South Carolina","Missouri",1522,1671
"South Dakota","Missouri",354,294
"Tennessee","Missouri",3795,1409
"Texas","Missouri",13473,3950
"Utah","Missouri",511,372
"Vermont","Missouri",69,86
"Virginia","Missouri",2277,1178
"Washington","Missouri",3307,2181
"West Virginia","Missouri",309,345
"Wisconsin","Missouri",2090,1117
"Wyoming","Missouri",241,274
"Puerto Rico","Missouri",101,165
"Alabama","Montana",317,463
"Alaska","Montana",248,185
"Arizona","Montana",2431,1191
"Arkansas","Montana",713,858
"California","Montana",2599,1492
"Colorado","Montana",4079,1579
"Connecticut","Montana",206,277
"Delaware","Montana",0,192
"District of Columbia ","Montana",38,64
"Florida","Montana",559,424
"Georgia","Montana",246,211
"Hawaii","Montana",85,140
"Idaho","Montana",1602,828
"Illinois","Montana",304,275
"Indiana","Montana",34,62
"Iowa","Montana",370,338
"Kansas","Montana",270,255
"Kentucky","Montana",216,238
"Louisiana","Montana",278,364
"Maine","Montana",10,18
"Maryland","Montana",73,103
"Massachusetts","Montana",596,719
"Michigan","Montana",84,105
"Minnesota","Montana",1457,859
"Mississippi","Montana",0,206
"Missouri","Montana",845,541
"Montana","Montana","N/A","N/A"
"Nebraska","Montana",64,88
"Nevada","Montana",1137,740
"New Hampshire","Montana",230,378
"New Jersey","Montana",49,80
"New Mexico","Montana",544,340
"New York","Montana",391,282
"North Carolina","Montana",563,549
"North Dakota","Montana",1227,612
"Ohio","Montana",101,172
"Oklahoma","Montana",803,793
"Oregon","Montana",1079,784
"Pennsylvania","Montana",338,308
"Rhode Island","Montana",0,207
"South Carolina","Montana",915,999
"South Dakota","Montana",232,258
"Tennessee","Montana",43,69
"Texas","Montana",537,423
"Utah","Montana",1241,623
"Vermont","Montana",0,145
"Virginia","Montana",617,714
"Washington","Montana",2125,934
"West Virginia","Montana",60,101
"Wisconsin","Montana",143,93
"Wyoming","Montana",1105,531
"Puerto Rico","Montana",0,210
"Alabama","Nebraska",770,638
"Alaska","Nebraska",5,12
"Arizona","Nebraska",1393,798
"Arkansas","Nebraska",332,417
"California","Nebraska",1955,821
"Colorado","Nebraska",4582,1961
"Connecticut","Nebraska",62,103
"Delaware","Nebraska",12,28
"District of Columbia ","Nebraska",79,110
"Florida","Nebraska",3857,2208
"Georgia","Nebraska",4144,3300
"Hawaii","Nebraska",91,95
"Idaho","Nebraska",439,591
"Illinois","Nebraska",827,520
"Indiana","Nebraska",622,491
"Iowa","Nebraska",6490,1780
"Kansas","Nebraska",1648,701
"Kentucky","Nebraska",471,517
"Louisiana","Nebraska",176,198
"Maine","Nebraska",0,157
"Maryland","Nebraska",0,204
"Massachusetts","Nebraska",637,727
"Michigan","Nebraska",439,312
"Minnesota","Nebraska",1936,821
"Mississippi","Nebraska",118,198
"Missouri","Nebraska",4860,1645
"Montana","Nebraska",384,392
"Nebraska","Nebraska","N/A","N/A"
"Nevada","Nebraska",32,37
"New Hampshire","Nebraska",33,54
"New Jersey","Nebraska",312,429
"New Mexico","Nebraska",353,312
"New York","Nebraska",579,553
"North Carolina","Nebraska",1056,1334
"North Dakota","Nebraska",218,170
"Ohio","Nebraska",1176,616
"Oklahoma","Nebraska",1979,1196
"Oregon","Nebraska",324,342
"Pennsylvania","Nebraska",582,439
"Rhode Island","Nebraska",0,207
"South Carolina","Nebraska",204,329
"South Dakota","Nebraska",1695,784
"Tennessee","Nebraska",631,660
"Texas","Nebraska",3837,2060
"Utah","Nebraska",195,178
"Vermont","Nebraska",0,145
"Virginia","Nebraska",256,289
"Washington","Nebraska",673,441
"West Virginia","Nebraska",78,140
"Wisconsin","Nebraska",483,405
"Wyoming","Nebraska",1784,957
"Puerto Rico","Nebraska",0,210
"Alabama","Nevada",257,333
"Alaska","Nevada",532,485
"Arizona","Nevada",8756,3417
"Arkansas","Nevada",641,525
"California","Nevada",36159,5100
"Colorado","Nevada",4061,1432
"Connecticut","Nevada",160,189
"Delaware","Nevada",0,192
"District of Columbia ","Nevada",238,282
"Florida","Nevada",3527,1810
"Georgia","Nevada",774,559
"Hawaii","Nevada",1548,795
"Idaho","Nevada",3581,1400
"Illinois","Nevada",2454,1187
"Indiana","Nevada",511,338
"Iowa","Nevada",2009,1634
"Kansas","Nevada",657,359
"Kentucky","Nevada",1358,976
"Louisiana","Nevada",994,623
"Maine","Nevada",150,250
"Maryland","Nevada",1105,1033
"Massachusetts","Nevada",163,158
"Michigan","Nevada",1215,610
"Minnesota","Nevada",2682,1858
"Mississippi","Nevada",84,141
"Missouri","Nevada",1544,830
"Montana","Nevada",688,543
"Nebraska","Nevada",240,165
"Nevada","Nevada","N/A","N/A"
"New Hampshire","Nevada",186,231
"New Jersey","Nevada",899,566
"New Mexico","Nevada",2099,1159
"New York","Nevada",1785,1037
"North Carolina","Nevada",1048,716
"North Dakota","Nevada",845,860
"Ohio","Nevada",1851,1107
"Oklahoma","Nevada",705,532
"Oregon","Nevada",7222,3426
"Pennsylvania","Nevada",1057,501
"Rhode Island","Nevada",0,207
"South Carolina","Nevada",1017,722
"South Dakota","Nevada",110,177
"Tennessee","Nevada",883,816
"Texas","Nevada",7793,2927
"Utah","Nevada",4315,1358
"Vermont","Nevada",15,26
"Virginia","Nevada",1717,961
"Washington","Nevada",4925,1696
"West Virginia","Nevada",293,235
"Wisconsin","Nevada",663,345
"Wyoming","Nevada",427,656
"Puerto Rico","Nevada",0,210
"Alabama","New Hampshire",64,109
"Alaska","New Hampshire",520,744
"Arizona","New Hampshire",228,229
"Arkansas","New Hampshire",52,69
"California","New Hampshire",1222,869
"Colorado","New Hampshire",489,396
"Connecticut","New Hampshire",1221,803
"Delaware","New Hampshire",0,192
"District of Columbia ","New Hampshire",145,139
"Florida","New Hampshire",4324,1798
"Georgia","New Hampshire",132,150
"Hawaii","New Hampshire",107,141
"Idaho","New Hampshire",129,123
"Illinois","New Hampshire",590,334
"Indiana","New Hampshire",90,152
"Iowa","New Hampshire",0,155
"Kansas","New Hampshire",27,37
"Kentucky","New Hampshire",52,84
"Louisiana","New Hampshire",15,26
"Maine","New Hampshire",4302,1394
"Maryland","New Hampshire",232,160
"Massachusetts","New Hampshire",12010,2630
"Michigan","New Hampshire",73,120
"Minnesota","New Hampshire",21,26
"Mississippi","New Hampshire",65,135
"Missouri","New Hampshire",769,750
"Montana","New Hampshire",0,165
"Nebraska","New Hampshire",0,155
"Nevada","New Hampshire",0,234
"New Hampshire","New Hampshire","N/A","N/A"
"New Jersey","New Hampshire",499,360
"New Mexico","New Hampshire",114,130
"New York","New Hampshire",2972,1172
"North Carolina","New Hampshire",2078,1738
"North Dakota","New Hampshire",0,143
"Ohio","New Hampshire",1992,1509
"Oklahoma","New Hampshire",0,163
"Oregon","New Hampshire",427,404
"Pennsylvania","New Hampshire",1326,520
"Rhode Island","New Hampshire",941,745
"South Carolina","New Hampshire",372,280
"South Dakota","New Hampshire",0,155
"Tennessee","New Hampshire",132,134
"Texas","New Hampshire",459,334
"Utah","New Hampshire",34,42
"Vermont","New Hampshire",2244,783
"Virginia","New Hampshire",1344,798
"Washington","New Hampshire",824,605
"West Virginia","New Hampshire",160,223
"Wisconsin","New Hampshire",480,364
"Wyoming","New Hampshire",0,189
"Puerto Rico","New Hampshire",0,210
"Alabama","New Jersey",1996,2284
"Alaska","New Jersey",128,136
"Arizona","New Jersey",3379,1757
"Arkansas","New Jersey",341,220
"California","New Jersey",8053,2169
"Colorado","New Jersey",2863,1788
"Connecticut","New Jersey",3809,1324
"Delaware","New Jersey",6297,1765
"District of Columbia ","New Jersey",1035,605
"Florida","New Jersey",25206,6219
"Georgia","New Jersey",8371,3016
"Hawaii","New Jersey",564,697
"Idaho","New Jersey",84,78
"Illinois","New Jersey",3009,1033
"Indiana","New Jersey",651,348
"Iowa","New Jersey",185,209
"Kansas","New Jersey",1189,724
"Kentucky","New Jersey",1289,1472
"Louisiana","New Jersey",453,269
"Maine","New Jersey",694,498
"Maryland","New Jersey",9627,1880
"Massachusetts","New Jersey",8332,1949
"Michigan","New Jersey",1849,779
"Minnesota","New Jersey",631,522
"Mississippi","New Jersey",269,293
"Missouri","New Jersey",1114,755
"Montana","New Jersey",889,589
"Nebraska","New Jersey",119,101
"Nevada","New Jersey",2118,1709
"New Hampshire","New Jersey",294,247
"New Jersey","New Jersey","N/A","N/A"
"New Mexico","New Jersey",245,229
"New York","New Jersey",41450,4170
"North Carolina","New Jersey",10374,2643
"North Dakota","New Jersey",183,306
"Ohio","New Jersey",3936,1643
"Oklahoma","New Jersey",391,333
"Oregon","New Jersey",1322,771
"Pennsylvania","New Jersey",36133,4167
"Rhode Island","New Jersey",1224,501
"South Carolina","New Jersey",4241,1445
"South Dakota","New Jersey",441,473
"Tennessee","New Jersey",1396,850
"Texas","New Jersey",7578,2982
"Utah","New Jersey",506,485
"Vermont","New Jersey",962,305
"Virginia","New Jersey",7327,2046
"Washington","New Jersey",2006,987
"West Virginia","New Jersey",1431,611
"Wisconsin","New Jersey",378,352
"Wyoming","New Jersey",7,16
"Puerto Rico","New Jersey",2150,1149
"Alabama","New Mexico",119,184
"Alaska","New Mexico",226,188
"Arizona","New Mexico",4610,1448
"Arkansas","New Mexico",775,680
"California","New Mexico",5904,2207
"Colorado","New Mexico",8797,2308
"Connecticut","New Mexico",265,225
"Delaware","New Mexico",0,192
"District of Columbia ","New Mexico",0,200
"Florida","New Mexico",1376,781
"Georgia","New Mexico",791,421
"Hawaii","New Mexico",354,366
"Idaho","New Mexico",141,229
"Illinois","New Mexico",1573,1619
"Indiana","New Mexico",504,410
"Iowa","New Mexico",421,347
"Kansas","New Mexico",769,810
"Kentucky","New Mexico",553,370
"Louisiana","New Mexico",1028,867
"Maine","New Mexico",144,191
"Maryland","New Mexico",797,676
"Massachusetts","New Mexico",199,276
"Michigan","New Mexico",508,367
"Minnesota","New Mexico",540,319
"Mississippi","New Mexico",1075,1040
"Missouri","New Mexico",1016,718
"Montana","New Mexico",264,389
"Nebraska","New Mexico",242,326
"Nevada","New Mexico",2136,1429
"New Hampshire","New Mexico",186,179
"New Jersey","New Mexico",355,537
"New Mexico","New Mexico","N/A","N/A"
"New York","New Mexico",461,276
"North Carolina","New Mexico",1737,1297
"North Dakota","New Mexico",99,112
"Ohio","New Mexico",255,287
"Oklahoma","New Mexico",403,259
"Oregon","New Mexico",537,449
"Pennsylvania","New Mexico",325,405
"Rhode Island","New Mexico",93,153
"South Carolina","New Mexico",598,609
"South Dakota","New Mexico",513,571
"Tennessee","New Mexico",381,330
"Texas","New Mexico",15225,2786
"Utah","New Mexico",1707,1068
"Vermont","New Mexico",56,105
"Virginia","New Mexico",1014,604
"Washington","New Mexico",1569,1254
"West Virginia","New Mexico",0,184
"Wisconsin","New Mexico",714,502
"Wyoming","New Mexico",76,101
"Puerto Rico","New Mexico",51,94
"Alabama","New York",1108,442
"Alaska","New York",940,613
"Arizona","New York",3880,1363
"Arkansas","New York",674,362
"California","New York",25629,3287
"Colorado","New York",3998,1621
